config_name,sram_name,depth,width,rw_ports,r_ports,w_ports,module_path
.,MemExeUnit_1,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./MemExeUnit_1.sv
.,ram_8x72,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_8x72.sv
.,ram_4x65,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_4x65.sv
.,ram_2x60,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x60.sv
.,ram_2x71,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x71.sv
.,TLInterconnectCoupler_mbus_to_memory_controller_port_named_axi4,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./TLInterconnectCoupler_mbus_to_memory_controller_port_named_axi4.sv
.,ram_8x80,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_8x80.sv
.,ram_15x114,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_15x114.sv
.,ram_4x509,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_4x509.sv
.,RenameMapTable,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./RenameMapTable.sv
.,ram_8x9,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_8x9.sv
.,dataArrayB0_512x256,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./dataArrayB0_512x256.sv
.,tag_array_64x80,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./tag_array_64x80.sv
.,ram_2x110,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x110.sv
.,MemExeUnit,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./MemExeUnit.sv
.,L1MetadataArray,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./L1MetadataArray.sv
.,ram_2x6,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x6.sv
.,MemoryBus,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./MemoryBus.sv
.,ram_4x8,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_4x8.sv
.,ram_2x102,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x102.sv
.,ram_2x78,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x78.sv
.,ram_2x126,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x126.sv
.,RenameMapTable_1,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./RenameMapTable_1.sv
.,ram_10x72,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_10x72.sv
.,ram_2x116,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x116.sv
.,BoomDuplicatedDataArray,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./BoomDuplicatedDataArray.sv
.,ram_2x117,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x117.sv
.,array_512x64,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./array_512x64.sv
.,ram_2x79,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x79.sv
.,ram_2x282,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x282.sv
.,ram_2x81,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x81.sv
.,ram_2x118,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x118.sv
.,tag_array_64x88,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./tag_array_64x88.sv
.,rob_compact_uop_mem_0_32x27,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./rob_compact_uop_mem_0_32x27.sv
.,ram_8x64,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_8x64.sv
.,ram_2x52,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x52.sv
.,ram_2x80,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x80.sv
.,ram_2x73,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x73.sv
.,ram_2x109,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_2x109.sv
.,ram_sink_2x2,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_sink_2x2.sv
.,l2_tlb_ram_0_512x45,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./l2_tlb_ram_0_512x45.sv
.,ram_8x14,0,0,1,0,0,/Users/hari/Desktop/riscv-boom/output/smallboom/./ram_8x14.sv
